threshold,f1_macro,balanced_accuracy,precision_positive,recall_positive
0.3350000000000001,0.6175399382026165,0.6296620046620047,0.627906976744186,0.8653846153846154
0.34,0.6267232237539766,0.6372377622377623,0.6338028169014085,0.8653846153846154
0.34500000000000003,0.6267232237539766,0.6372377622377623,0.6338028169014085,0.8653846153846154
0.35000000000000003,0.6282805105406568,0.6378205128205128,0.6350710900473934,0.8589743589743589
0.35500000000000004,0.6342525399129173,0.6421911421911422,0.6394230769230769,0.8525641025641025
0.36000000000000004,0.6342525399129173,0.6421911421911422,0.6394230769230769,0.8525641025641025
0.36500000000000005,0.6312419974391805,0.638986013986014,0.6376811594202898,0.8461538461538461
0.37000000000000005,0.6312419974391805,0.638986013986014,0.6376811594202898,0.8461538461538461
0.37500000000000006,0.6282335932255899,0.6357808857808858,0.6359223300970874,0.8397435897435898
0.38000000000000006,0.6370370370370371,0.6433566433566433,0.6421568627450981,0.8397435897435898
0.385,0.6383578494182769,0.6439393939393939,0.6435643564356436,0.8333333333333334
0.39,0.6383578494182769,0.6439393939393939,0.6435643564356436,0.8333333333333334
0.395,0.6383578494182769,0.6439393939393939,0.6435643564356436,0.8333333333333334
0.4,0.6426844710486934,0.6477272727272727,0.6467661691542289,0.8333333333333334
0.405,0.6469867211440246,0.6515151515151516,0.65,0.8333333333333334
0.41000000000000003,0.6524346091794866,0.6558857808857809,0.6548223350253807,0.8269230769230769
0.41500000000000004,0.6493506493506493,0.6526806526806527,0.6530612244897959,0.8205128205128205
0.42000000000000004,0.6504677623261694,0.6532634032634033,0.654639175257732,0.8141025641025641
0.42500000000000004,0.6515426497277677,0.6538461538461539,0.65625,0.8076923076923077
0.43000000000000005,0.6556888111448096,0.6576340326340326,0.6596858638743456,0.8076923076923077
0.43500000000000005,0.6639186900056465,0.6652097902097902,0.6666666666666666,0.8076923076923077
0.44000000000000006,0.669790628115653,0.6701631701631701,0.6739130434782609,0.7948717948717948
0.44500000000000006,0.6674571346982358,0.6675407925407926,0.6740331491712708,0.782051282051282
0.45000000000000007,0.66824797175946,0.668123543123543,0.6759776536312849,0.7756410256410257
0.45500000000000007,0.6697206979468524,0.6692890442890442,0.68,0.7628205128205128
0.4600000000000001,0.6736141906873614,0.6730769230769231,0.6839080459770115,0.7628205128205128
0.4650000000000001,0.6710511771858074,0.6704545454545454,0.6842105263157895,0.75
0.4700000000000001,0.6716641127796505,0.6710372960372961,0.6863905325443787,0.7435897435897436
0.4750000000000001,0.6722426852996244,0.6716200466200466,0.688622754491018,0.7371794871794872
0.48000000000000004,0.679824079164376,0.6791958041958042,0.696969696969697,0.7371794871794872
0.48500000000000004,0.68359375,0.6829836829836831,0.7012195121951219,0.7371794871794872
0.49000000000000005,0.68359375,0.6829836829836831,0.7012195121951219,0.7371794871794872
0.49500000000000005,0.68359375,0.6829836829836831,0.7012195121951219,0.7371794871794872
0.5,0.68359375,0.6829836829836831,0.7012195121951219,0.7371794871794872
0.5050000000000001,0.6803239696034544,0.6797785547785548,0.6993865030674846,0.7307692307692307
0.51,0.6770513383062746,0.6765734265734266,0.6975308641975309,0.7243589743589743
0.5150000000000001,0.6775073028237586,0.6771561771561772,0.7,0.717948717948718
0.52,0.6709291583604804,0.6707459207459208,0.6962025316455697,0.7051282051282052
0.5250000000000001,0.6713286713286712,0.6713286713286712,0.6987179487179487,0.6987179487179487
0.53,0.6753572597360096,0.6756993006993006,0.7058823529411765,0.6923076923076923
0.5350000000000001,0.682646549531986,0.6832750582750582,0.7152317880794702,0.6923076923076923
0.54,0.6793028322440087,0.68006993006993,0.7133333333333334,0.6858974358974359
0.5450000000000002,0.6762049831356762,0.6774475524475525,0.7142857142857143,0.6730769230769231
0.55,0.6660869565217391,0.6678321678321678,0.7083333333333334,0.6538461538461539
0.5550000000000002,0.662702389432887,0.6646270396270396,0.7062937062937062,0.6474358974358975
0.56,0.6628652112523081,0.6652097902097902,0.7092198581560284,0.6410256410256411
0.5650000000000001,0.6629953555702998,0.6657925407925408,0.7122302158273381,0.6346153846153846
0.5700000000000001,0.6629953555702998,0.6657925407925408,0.7122302158273381,0.6346153846153846
0.5750000000000001,0.6630928978883006,0.6663752913752914,0.7153284671532847,0.6282051282051282
0.5800000000000001,0.6596565695543122,0.6631701631701632,0.7132352941176471,0.6217948717948718
0.5850000000000001,0.6562126966901791,0.659965034965035,0.7111111111111111,0.6153846153846154
0.5900000000000001,0.6527777777777778,0.6573426573426573,0.7121212121212122,0.6025641025641025
0.5950000000000001,0.6527777777777778,0.6573426573426573,0.7121212121212122,0.6025641025641025
0.6000000000000001,0.6562126966901791,0.6617132867132867,0.7209302325581395,0.5961538461538461
0.6050000000000001,0.6630928978883006,0.6692890442890442,0.7322834645669292,0.5961538461538461
0.6100000000000001,0.6595744680851063,0.666083916083916,0.7301587301587301,0.5897435897435898
0.6150000000000001,0.6560468062006153,0.6628787878787878,0.728,0.5833333333333334
0.6200000000000001,0.6489627457369394,0.6564685314685315,0.7235772357723578,0.5705128205128205
0.6250000000000001,0.6452173913043479,0.6538461538461539,0.725,0.5576923076923077
0.6300000000000001,0.6449944409532558,0.6544289044289044,0.7288135593220338,0.5512820512820513
0.6350000000000001,0.6377708978328174,0.6480186480186481,0.7241379310344828,0.5384615384615384
0.6400000000000001,0.6301608838922272,0.6421911421911422,0.7232142857142857,0.5192307692307693
0.645,0.6330765030637626,0.6465617715617715,0.7339449541284404,0.5128205128205128
0.6500000000000001,0.6330765030637626,0.6465617715617715,0.7339449541284404,0.5128205128205128
0.655,0.6214216163583253,0.6375291375291375,0.7307692307692307,0.48717948717948717
0.6600000000000001,0.6214216163583253,0.6375291375291375,0.7307692307692307,0.48717948717948717
0.665,0.627906976744186,0.6451048951048951,0.7450980392156863,0.48717948717948717
0.6700000000000002,0.62734375,0.6456876456876457,0.75,0.4807692307692308
0.675,0.62734375,0.6456876456876457,0.75,0.4807692307692308
0.6800000000000002,0.6119929453262787,0.6328671328671328,0.7395833333333334,0.4551282051282051
0.685,0.6119929453262787,0.6328671328671328,0.7395833333333334,0.4551282051282051
0.6900000000000002,0.6081152313821636,0.6296620046620046,0.7368421052631579,0.44871794871794873
0.6950000000000001,0.6042208588957055,0.6264568764568764,0.7340425531914894,0.4423076923076923
0.7000000000000002,0.6003094948601746,0.6232517482517482,0.7311827956989247,0.4358974358974359
0.7050000000000001,0.5995225379323923,0.6238344988344988,0.7362637362637363,0.42948717948717946
0.7100000000000002,0.5995225379323923,0.6238344988344988,0.7362637362637363,0.42948717948717946
0.7150000000000001,0.5986928910537024,0.6244172494172494,0.7415730337078652,0.4230769230769231
0.7200000000000002,0.5907018129240351,0.618006993006993,0.735632183908046,0.41025641025641024
0.7250000000000001,0.5938041272826249,0.6217948717948718,0.7441860465116279,0.41025641025641024
0.7300000000000002,0.5897689973369666,0.6185897435897436,0.7411764705882353,0.40384615384615385
0.7350000000000001,0.5959425400096843,0.6261655011655012,0.7590361445783133,0.40384615384615385
0.7400000000000002,0.5836490528414755,0.6165501165501166,0.75,0.38461538461538464
0.7450000000000001,0.5753486279802069,0.6101398601398602,0.7435897435897436,0.3717948717948718
0.7500000000000002,0.574178027265437,0.6107226107226107,0.75,0.36538461538461536
0.7550000000000001,0.5729580296556924,0.6113053613053613,0.7567567567567568,0.358974358974359
0.76,0.5716878402903811,0.6118881118881119,0.7638888888888888,0.3525641025641026
0.7650000000000001,0.5746689723943804,0.6156759906759907,0.7746478873239436,0.3525641025641026
0.77,0.5733333333333333,0.6162587412587412,0.782608695652174,0.34615384615384615
0.7750000000000001,0.5689935064935066,0.6130536130536131,0.7794117647058824,0.33974358974358976
0.78,0.5689935064935066,0.6130536130536131,0.7794117647058824,0.33974358974358976
0.7850000000000001,0.564628615709041,0.6098484848484849,0.7761194029850746,0.3333333333333333
0.79,0.5602382043060009,0.6066433566433567,0.7727272727272727,0.3269230769230769
0.7950000000000002,0.5469091746287555,0.5970279720279721,0.7619047619047619,0.3076923076923077
0.8,0.54241197273333,0.5938228438228438,0.7580645161290323,0.30128205128205127
